Individual , Population , MotherID , FatherID , Ploidy
A , 0 , NA , NA , 4
B , 0 , NA , NA , 4
AxB0001 , 1 , A , B , 4
AxB0002 , 1 , A , B , 4
AxB0003 , 1 , A , B , 4
AxB0004 , 1 , A , B , 4
AxB0005 , 1 , A , B , 4
AxB0006 , 1 , A , B , 4
AxB0007 , 1 , A , B , 4
AxB0008 , 1 , A , B , 4
AxB0009 , 1 , A , B , 4
AxB0010 , 1 , A , B , 4
AxB0011 , 1 , A , B , 4
AxB0012 , 1 , A , B , 4
AxB0013 , 1 , A , B , 4
AxB0014 , 1 , A , B , 4
AxB0015 , 1 , A , B , 4
AxB0016 , 1 , A , B , 4
AxB0017 , 1 , A , B , 4
AxB0018 , 1 , A , B , 4
AxB0019 , 1 , A , B , 4
AxB0020 , 1 , A , B , 4
AxB0021 , 1 , A , B , 4
AxB0022 , 1 , A , B , 4
AxB0023 , 1 , A , B , 4
AxB0024 , 1 , A , B , 4
AxB0025 , 1 , A , B , 4
AxB0026 , 1 , A , B , 4
AxB0027 , 1 , A , B , 4
AxB0028 , 1 , A , B , 4
AxB0029 , 1 , A , B , 4
AxB0030 , 1 , A , B , 4
AxB0031 , 1 , A , B , 4
AxB0032 , 1 , A , B , 4
AxB0033 , 1 , A , B , 4
AxB0034 , 1 , A , B , 4
AxB0035 , 1 , A , B , 4
AxB0036 , 1 , A , B , 4
AxB0037 , 1 , A , B , 4
AxB0038 , 1 , A , B , 4
AxB0039 , 1 , A , B , 4
AxB0040 , 1 , A , B , 4
AxB0041 , 1 , A , B , 4
AxB0042 , 1 , A , B , 4
AxB0043 , 1 , A , B , 4
AxB0044 , 1 , A , B , 4
AxB0045 , 1 , A , B , 4
AxB0046 , 1 , A , B , 4
AxB0047 , 1 , A , B , 4
AxB0048 , 1 , A , B , 4
AxB0049 , 1 , A , B , 4
AxB0050 , 1 , A , B , 4
AxB0051 , 1 , A , B , 4
AxB0052 , 1 , A , B , 4
AxB0053 , 1 , A , B , 4
AxB0054 , 1 , A , B , 4
AxB0055 , 1 , A , B , 4
AxB0056 , 1 , A , B , 4
AxB0057 , 1 , A , B , 4
AxB0058 , 1 , A , B , 4
AxB0059 , 1 , A , B , 4
AxB0060 , 1 , A , B , 4
AxB0061 , 1 , A , B , 4
AxB0062 , 1 , A , B , 4
AxB0063 , 1 , A , B , 4
AxB0064 , 1 , A , B , 4
AxB0065 , 1 , A , B , 4
AxB0066 , 1 , A , B , 4
AxB0067 , 1 , A , B , 4
AxB0068 , 1 , A , B , 4
AxB0069 , 1 , A , B , 4
AxB0070 , 1 , A , B , 4
AxB0071 , 1 , A , B , 4
AxB0072 , 1 , A , B , 4
AxB0073 , 1 , A , B , 4
AxB0074 , 1 , A , B , 4
AxB0075 , 1 , A , B , 4
AxB0076 , 1 , A , B , 4
AxB0077 , 1 , A , B , 4
AxB0078 , 1 , A , B , 4
AxB0079 , 1 , A , B , 4
AxB0080 , 1 , A , B , 4
AxB0081 , 1 , A , B , 4
AxB0082 , 1 , A , B , 4
AxB0083 , 1 , A , B , 4
AxB0084 , 1 , A , B , 4
AxB0085 , 1 , A , B , 4
AxB0086 , 1 , A , B , 4
AxB0087 , 1 , A , B , 4
AxB0088 , 1 , A , B , 4
AxB0089 , 1 , A , B , 4
AxB0090 , 1 , A , B , 4
AxB0091 , 1 , A , B , 4
AxB0092 , 1 , A , B , 4
AxB0093 , 1 , A , B , 4
AxB0094 , 1 , A , B , 4
AxB0095 , 1 , A , B , 4
AxB0096 , 1 , A , B , 4
AxB0097 , 1 , A , B , 4
AxB0098 , 1 , A , B , 4
AxB0099 , 1 , A , B , 4
AxB0100 , 1 , A , B , 4
