"individual","population","mother","father","ploidy"
"W6511-1R",0,0,0,4
"VillettaRose",0,0,0,4
"W15268-1R","pop1","W6511-1R","VillettaRose",4
"W15268-4R","pop1","W6511-1R","VillettaRose",4
"W15268-5R","pop1","W6511-1R","VillettaRose",4
"W15268-6R","pop1","W6511-1R","VillettaRose",4
"W15268-7R","pop1","W6511-1R","VillettaRose",4
"W15268-8R","pop1","W6511-1R","VillettaRose",4
"W15268-9R","pop1","W6511-1R","VillettaRose",4
"W15268-12R","pop1","W6511-1R","VillettaRose",4
"W15268-13R","pop1","W6511-1R","VillettaRose",4
"W15268-16R","pop1","W6511-1R","VillettaRose",4
"W15268-17R","pop1","W6511-1R","VillettaRose",4
"W15268-18R","pop1","W6511-1R","VillettaRose",4
"W15268-19R","pop1","W6511-1R","VillettaRose",4
"W15268-20R","pop1","W6511-1R","VillettaRose",4
"W15268-21R","pop1","W6511-1R","VillettaRose",4
"W15268-22R","pop1","W6511-1R","VillettaRose",4
"W15268-23R","pop1","W6511-1R","VillettaRose",4
"W15268-24R","pop1","W6511-1R","VillettaRose",4
"W15268-25R","pop1","W6511-1R","VillettaRose",4
"W15268-26R","pop1","W6511-1R","VillettaRose",4
"W15268-27R","pop1","W6511-1R","VillettaRose",4
"W15268-28R","pop1","W6511-1R","VillettaRose",4
"W15268-29R","pop1","W6511-1R","VillettaRose",4
"W15268-30R","pop1","W6511-1R","VillettaRose",4
"W15268-31R","pop1","W6511-1R","VillettaRose",4
"W15268-32R","pop1","W6511-1R","VillettaRose",4
"W15268-33R","pop1","W6511-1R","VillettaRose",4
"W15268-34R","pop1","W6511-1R","VillettaRose",4
"W15268-36R","pop1","W6511-1R","VillettaRose",4
"W15268-39R","pop1","W6511-1R","VillettaRose",4
"W15268-41R","pop1","W6511-1R","VillettaRose",4
"W15268-42R","pop1","W6511-1R","VillettaRose",4
"W15268-47R","pop1","W6511-1R","VillettaRose",4
"W15268-48R","pop1","W6511-1R","VillettaRose",4
"W15268-49R","pop1","W6511-1R","VillettaRose",4
"W15268-51R","pop1","W6511-1R","VillettaRose",4
"W15268-52R","pop1","W6511-1R","VillettaRose",4
"W15268-53R","pop1","W6511-1R","VillettaRose",4
"W15268-56R","pop1","W6511-1R","VillettaRose",4
"W15268-57R","pop1","W6511-1R","VillettaRose",4
"W15268-61R","pop1","W6511-1R","VillettaRose",4
"W15268-63R","pop1","W6511-1R","VillettaRose",4
"W15268-65R","pop1","W6511-1R","VillettaRose",4
"W15268-67R","pop1","W6511-1R","VillettaRose",4
"W15268-68R","pop1","W6511-1R","VillettaRose",4
"W15268-73R","pop1","W6511-1R","VillettaRose",4
"W15268-74R","pop1","W6511-1R","VillettaRose",4
"W15268-76R","pop1","W6511-1R","VillettaRose",4
"W15268-77R","pop1","W6511-1R","VillettaRose",4
"W15268-78R","pop1","W6511-1R","VillettaRose",4
"W15268-79R","pop1","W6511-1R","VillettaRose",4
"W15268-80R","pop1","W6511-1R","VillettaRose",4
"W15268-82R","pop1","W6511-1R","VillettaRose",4
